Title,All Pass,Status,Screening,Tracking,Sub Date,Sales,Active,Sub By,Sub To,Film List,Type,Genre,Director,Budget,Writer,Read By,Producer,Last Updated,Cast,Script,Coverage,DVD,Logline,Notes,Festival,Screening,Priority I,Festival Wrap Up,Priority II,Bought By,Insert Coverage Text Here,Insert Script File Here,Insert Coverage File Here
AURORA,,Complete,,,,Co Production Office,,,,,,Drama,Cristi Piu,,Cristi Piu,,Anca Puiu,05/07/2010,"Cristi Puiu, Clara Voda, Crina Muresan, Gelu Colceag, Nicu Mihoc ",,,,"AURORA, like THE DEATH OF MR. LAZARESCU, is part of the director’s ‘Six stories from the outskirts of Bucharest’; a series of six intertwined but  independent stories. 181'
 ","(Stefano) - Pass, left after one hour.",Cannes 2010 Un Certain Regard,"Thu 13 - 10.00 @Olympia 7 (on invite)      Fri 14 -  11:00 @DEBUSSY   
Sat 15 - 13:00 @BAZIN
Tue 18 - 10:00 @OLYMPIA 7",,,,"BLX: Lumiere, SW: with copro",,,
le quattro volte,,Complete,,,,Co Production Office,,,,,,Drama,Michelangelo Frammartino ,,Michelangelo Frammartino ,,"Gregorio Paonessa, Marta Donzelli",05/08/2010,,,,,###############################################################################################################################################################################################################################################################,"(Daniel) - Small potential, but there is an audience.  Silent movie, almost meditation.  I liked it.
(Artificial Eye) - Loved it, but tiny.",Cannes 2010 Directors' Fortnight,Sun 16 - 9:00 & 17:00 @PALAIS STEPHANIE  ,,Festival Wrap Up,,"BLX: Lumiere, IT: Luce",,,
TENDER SON - THE FRANKENSTEIN PROJECT,,Complete,,,,Co Production Office,,,,,,Drama,Kornél Mundruczó ,,,,Philippe Bober,05/06/2010,"Kornel Mundruzco, Rudolf Frecska",,,,"A boy returns home from the institution where he grew up, but finds he is not welcome there. He fights to win the love of his family but ends up murdering them. 105'",Screened by Laure and Christelle - HCD,Cannes 2010 Competition,Sat 22 - 12.00 & 22.30 @Lumiere     ,,,,"BLX: Lumiere, SW: with CoPro",,,
TETSUO THE BULLET MAN,,Complete,,,,Co Production Office,,,,,,Sci Fi Thriller,Shinya Tsukamoto ,,Shinya Tsukamoto,,"Shin-Ichi Kawahara, Masayuki Tanishima",05/07/2010,"Shinya Tsukamoto, Eric Bossick, Dwayne Lawler",,,,"The third installment in Shinya Tsukamoto's cult ""Tetsuo"" series.
 ",FINAL EDIT  Like early David Lynch let loose in a scrapyard. ,Cannes 2010,"Wed 12th 16:00@Riviera 1
Fri 14th 10:00@Palais H",,,,,,,
Women Without Men,,Complete,,,,Co production office,,,,,,Drama,Shirin Neshat,$4.7 Mil.,,,,,,,,,"The first big screen representation of Iran's 1953 coup d'etat: Iran 1953. Against the tumultuous backdrop of the CIA military coup, four women from different social backgrounds attempt to change their own destinies.
 ",,,,,,,UK: Artificial Eye,,,
7.5 Steps,,Completed,,,,Coach 14,,,,,,Drama,Lalo García ,,,,Pedro DOMÉNECH - Iris Star ,,"Ernesto ALTERIO, Ingrid RUBIO, Pere ARQUILLUÉ, Sancho GRACIA ",,,,###############################################################################################################################################################################################################################################################,,,,,,,,,,
All good Children,,Complete,,Tracking,04/26/2010,Coach 14,,,,,,Drama,Alicia Duffy,,Alicia Duffy,,"Caveman Films, Jonathan Cavendish / Element Pictures",05/06/2010,"Jack Gleeson, Imogen Jones, David Brazil, David Wilot, Kate Duchene",,,,###############################################################################################################################################################################################################################################################,"(Wallie) - Not his cup of tea.  Too dark and unbelieveable.
(Laure) - Quite small, not enough emotion.",Cannes 2010 Directors' Fortnight,"Sun 16 - 12:00@Arcade 2, 
Mon 17 - 17:30@Star 4
Wed 19 - 11:00 & 22:00 @Palais Stephanie",,Festival Wrap Up,,BLX: Cineart,,,
Amer,,Complete,,,04/30/2010,Coach 14,,,,,,Drama,Hélène Cattet and Bruno Forzani,,,,"""Anonymes Films - Tobina Films, Eve Commenge and François Cognard""",04/30/2010,"Bianca Maria D'Amato, Marie Bos, Charlotte Eugène Guibeaud, Cassandra Forêt.",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,,,,,,,
Carre blanc ,,Post-Production,,,,Coach 14,,,,,,Drama,Jean Baptiste Leonetti,,Jean Baptiste Leonetti,,"""Eric TAVITIAN, Donato ROTUNNO, Benjamin MAMOU, Joseph Rouschop and Xavier Ruiz, Alexander RODNYANSKY(exec prod)
Tarantula, SolairFilms, CJSC CTC Network """,05/02/2010,"Sami BOUAJILA, Julie GAYET, Jean-Pierre ANDREANI, Dominique PATUREL, Carlos LEAL ",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010 ,,,,,,,,
Castro's Daughter,,Pre-Production,,,,Coach 14,,,,,,Drama True Story,Bobby Moresco,,"Bobby Moresco, Nilo Cruz",Steve Murphy,"Bobby Moresco, John Torres Martinez",05/02/2010,"Jordi Molla, Mia Maestro Daniel Bruhl",,Coverage,,"The story of Alina Fernandez, illegitimate daughter of Castro, who joined the anti-castro movement in Miami in the eighties. She wrote a best-seller, the script is the adaptation. ",,Cannes 2010,,,,,,###############################################################################################################################################################################################################################################################,,castrosdaughter .docx
je suis heureux que ma mere soit vivant,,,,,,Coach 14,,,,,,,Claude and Nathan Miller,,,,,05/02/2010,"Vincentt Rottiers, Sophie Cattani, Christine Citti, Yves Verhoeven",,,,"Between the age of 7 and 20, Thomas looked for his birth mother. Unknown to his adoptive parents, he finds the woman who had abandoned him and starts a ""parallel life"" with her. But, as the proverb goes: ""You shouldn't bet on two winning horses...""",,Cannes 2010,,,,,,,,
Les Herbes folles,,Complete,,,,Coach 14,,,,,,Drama Thriller,Alain Resnais,,"Alex Reval, Laurent Heribert",,"""Jean-Louis LIVI, Valerio DE PAOLIS (coproducer)
F Comme Film  - Studio Canal - France 2 Cinéma - Bim Distribuzione""",05/02/2010,"Sabine AZÉMA, André DUSSOLLIER, Emmanuelle DEVOS, Anne CONSIGNY, Mathieu AMALRIC, Michel VUILLERMOZ, Edouard BAER ",,,,###############################################################################################################################################################################################################################################################,"WORLD SALES IN ASSOCIATION WITH ORLY FILMS  (FR/IT co-pro w/ BIM, Studio Canal has FR - SW)",Cannes 2010,,,,,,,,
"Politist, Adjective",,Complete,,,,Coach 14,,,,,,Drama,Corneliu Porumboiu,,,,Marcela Ursu,05/02/2010,"Dragos Bucur, Vlad Ivanov, Ion Stoica, Irina Saluescu",,,,###############################################################################################################################################################################################################################################################,"Screened by hcd, clever, well done, but more a fest film.",Cannes 2010 ,,,,,,,,
Portrait of a Fighter as a Young man,,Complete,,,,Coach 14,,,,,,Action Drama,Constantin Popescu,,Constantin Popescu,,42km,05/07/2010,"Contantin Ditja, Bogden Dumitrache, Catalin Babliuc, Ionut Caras, Constantin Lupescu, Ion Bechet, Dan Bordeianu, Bogdan Dumitrescu, Alexandru Potocean, Alin Mihalache",,,,"Right after WWII, Romania fell under communist dictatorship. The countr became a huge prison. Terror was its new rule. This is the story of the armed resistance that opposed that regime. 120' (new version)",,"Cannes 2010, Berlin 2010 - Forum","Mon 17 - 9:15 @Palais J
Wed 19 - 18:00 @Gray 1",,,,,,,
principles of life,,Post-Production,,,,Coach 14,,,,,,,Constantin Popescu,,,,,05/02/2010,"Vlad Ivanov, Gabriel Hulan, Rodica Lazar",,,,###############################################################################################################################################################################################################################################################,,Cannes 2010 ,,,,,,,,
bloodfist 2050,,Complete,,,04/19/2010,Concorde-New Horizons,,,,,,Action,Cirio H Santiago,,Michael Henry Carter,steve,"Cirio H Santiago, Roger Corman",04/19/2010,"Matt Mullins, Joe Sabatino, Glen Meadows",,Coverage,,###############################################################################################################################################################################################################################################################,,,,,,,,###############################################################################################################################################################################################################################################################,,bloodfist2050.doc
Age of Heroes,,Pre-Production,,,04/02/2010,ContentFilm,,Harry White,,,Script,Action,Adrian Vitoria,$2 Mil.,"Adrian Vitoria, Ed Scates",Shawna Dwyer,"Metrodome, Lex Lutzus (Neon Park)",04/21/2010,"Sean Bean (""Lord of the Rings"", ""The Hitcher""), Danny Dyer (""The Football Factory,"" ""The Business"")",Script,Coverage,,###############################################################################################################################################################################################################################################################,"(Mirjam) - Could be a good adventure movie, to track.",Cannes 2010,,,,,,###############################################################################################################################################################################################################################################################,Age of Heroes_Script.pdf,age of heroes.docx
Balibo,,Complete,,,,ContentFilm,,,,,,Drama,Robert Connolly,$5 Mil.,Robert Connolly,,"John Maynard, Rebecca Williamson",,"Anthony LaPaglia, Oscar Issac",,Coverage,,"1975 - with the eyes of the world distractred by the recent conclusions to the war in Vietnam, five Australian television correspondents go missing when the Indonesian Army crosses the border to occupy neighbouring East Timor","BLX: 90
FR: 400
IT: 300
SW: 35",,,,,,,###############################################################################################################################################################################################################################################################,,balibo.doc
BARBARIAN PRINCESS,,Complete,,,,ContentFilm,,,,,,Breathtaking Romantic Drama,Marc Forby,$9 Mil.,Marc Forby,,"Nigel Thomas, Lauri Apelian",,"Q’orianka Kilcher (THE NEW WORLD), Barry Pepper (THE GREEN MILE, FLAGS OF OUR FATHERS), Shaun Evans (CASHBACK, BEING JULIA), Will Patton (A MIGHTY HEART)",,,,"Set against the dramatic island backdrop of Hawaii and based on the inspiring true story, BARBARIAN PRINCESS is a breathtaking romance about an unlikely heroine and her unwavering fight to defend the independence of her people.",AUS 400k,,,,,,,,,
cooked aka horse,,Development,,,,ContentFilm,,,,,,Crime Thriller,Laurence Malkin,$10 Mil.,"Chad Thurmann, Laurence Malkin",,"Paul Schiff, Tai Duncan, Rosanne Korenberg",04/21/2010,"Jim Caviezel, Deigo Luna, Luis Guzmán, Benito Martinez",,,,A veteran of the Afghani war returns home with a brick of heroin recovered from the battlefield and reluctantly attempts to sell it in order to raise money for an impending legal struggle to gain custody of his only son.,,,,,,,,,,
Cowgirl Bandits,,Josh read,,,02/11/2010,ContentFilm,,Harry White,,,Script,,Jess Manafort,,Michael Tabb,,"Paul Schiff, Tai Duncan, Katherine Brown",,"Leighton Meester, Amber Heard ",,,,###############################################################################################################################################################################################################################################################,,,,,,,,,,
COWGIRL BANDITS ,,Pre-Production,,,,ContentFilm,,,,,,Action Thriller,,,Michael Tabb,Josh Stamell ,"Trevor Macy, Marc Evans, Anil Kurian",04/19/2010,Leighton Meester and Amber Herd ,Script,Coverage,,"Set in the small rural town of Nottingham, Texas, where a group of rebellious young women, dressed as cowboys,  rob several branches of a bank that's threatening their community's livelihood and corrupting the town's leaders.",Shooting summer 2010,,,,,,,###############################################################################################################################################################################################################################################################,CowgirlBandits.pdf,cowgirl bandits.docx
"DETAILS , THE",,Post-Production,,,,ContentFilm,,,,,,Comedy Suspenser,Jacob Aaron Estes ,$10 Mil.,Jacob Aaron Estes,steve,"Mark Gordon (THE DAY AFTER TOMORROW, SAVING PRIVATE RYAN...), Hagai Shaham (MEAN CREEK), Bryan Zuriff (THE MESSENGER - as EP)",04/19/2010,"James McAvoy, Elizabeth Banks, Laura Linney ",,Coverage,,###############################################################################################################################################################################################################################################################,"BLX 225k
FR 650k
IT 425k
SW 75k
SCAN 250k
LA 500k
INDO 35k
ME 70k
 400k",,,,,,,###############################################################################################################################################################################################################################################################,,details.doc
"dog squad: 3d, the",,Pre-Production,,,,ContentFilm,,,,,,CGI Family Comedy,Les Mayfield,$21 Mil.,,,,05/04/2010,,Script,Coverage,,###############################################################################################################################################################################################################################################################,,Cannes 2010,,*Pass,,,,###############################################################################################################################################################################################################################################################,THEDOGSQUAD3D_Cannes_2010.pdf,
Extract,,Complete,,,,ContentFilm,,,,,,Comedy,Mike Judge,$10 Mil.,Mike Judge,,"John Altschuler, Michael Rotenberg",04/21/2010,"Jason Bateman, Mila Kunis, Ben Affleck, Kriten Wiig, JK Simmons, David Koechner",,,,"From the cult director of ‘Office Space’ and ‘Beavis and Butthead’, and starring the downright hilarious Jason Bateman comes a comedy about sexual frustration, litigation con-artistry and castration…",,Cannes 2010,,,,,UK: Miramax,,,
"Fallout, The",,Pre-Production,,,,ContentFilm,,,,,,Thriller,Xavier Gens,$6 Mil.,"Karl Mueller, Eron Sheean",,"Ross Dinerstein, Xavier Gens, Darryn Welch, Tony Krantz",,"Sean William Scott, Melissa George",,,,###############################################################################################################################################################################################################################################################,"Shoots early Spring. Not a prebuy, feels like video stuff.  Writing was not particularly strong. (SM)
BLX 175K
FR 1M
IT 250k
SW 50k
SCAN200k
UK 375k
LA 450k
OZ 225k
ME - 100k (but output)",,,,,,,,,
Fish Tank,,Complete,,,,ContentFilm,,,,,,Drama,Andrea Arnold,,Andrea Arnold,,"Kees Kasander, Christine Haebler",,"Michael Fassbender, Katie Jarvis, Kierston Wareing",,,,###############################################################################################################################################################################################################################################################,"
IT 250k
INDO 10-15k",,,,,,,,,
gabriel range project (fka Slave),,Post-Production,,,,ContentFilm,,,,,,Thriller Suspense,Gabriel Range, £3M,"Jeremy Brock, Mende Nazaar",Steve Murphy,Gail Egan,05/08/2010,Wunmi Mosaku,Script,Coverage,,"Based on the extraordinary true story by Mende Nazer, SLAVE is a controversial thriller about London ’s shocking slave trade, and one woman’s fight for freedom…","(Mirjam) To track, may screen in Toronto.",Cannes 2010,,,Festival Wrap Up,,,###############################################################################################################################################################################################################################################################,,
Gaia,,Complete,,,,ContentFilm,,,,,,Drama,Jason Lehel,,Jason Lehel,,Jason Lehel,,"Emily Lape, Ed Mendoza, Deswood Etsitty",,,,"A group of Native Americans discover a young woman, left for dead, in the Arizona desert. Through her relationship with them she manages to re-connect with her own innocence, but is forced to make difficult choices.",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
