Title,Film Fest,Festival Program,All Pass,Status,Screenings,Tracking,Sub Date,Sales Company,Active,Submitted By,Submitted To,Film List,Type,Genre,Director,Budget,Writer,Read By,Producer,Last Updated,Cast,Script,Print Coverage,Format Submitted,Log Line,Notes,,Screening,Priority I,Festival Wrap Up,Priority II,Bought By, Coverage Text Only,Insert Script File Here,Insert Coverage File Here
atm,Cannes 2010,,Not All Pass,Pre-Production,,Not Tracking,04/30/2010,Lionsgate,,,,Not Film List,,Suspense Thriller,David Brooks (Buried),,Chris Sparling (Buried),,"Paul Brooks, Peter Safran",04/30/2010,,Script,Print Coverage,,Three co-workers end up in a desperate fight for survival when they become trapped by a psychotic killer.,Gold Circle producing. Steve is reading.,,,*C,,,,"LOGLINE 
Three co-workers end up in a desperate fight for survival when they become trapped by a psychotic killer.
 
COMMENTS 
Not a huge fan of this project; (and I wasn’t a huge fan of BURIED either… but that script may actually have been better). The killer has absolutely no reason for doing this; so we basically watch a random act of violence unfold for the course of ninety minutes.  The premise seems contrived; the criminal seems to inexplicably possess super powers, and the main characters don’t really come up with any really smart or interesting ways to get out of their situation.   This is trying to capture the style of OPEN WATER in an ATM vestibule, and it doesn’t work very well. 
 
SUMMARY 
DAVID, bored at work, reluctantly agrees to come to the office xmas party when his  buddy COREY tells him that his longtime crush EMILY will be there. 
 
At the bar, David has an awkward conversation with her but manages to talk her into letting him drive her home.  Much to his chagrin, the inebriated Corey demands to get a ride home as well; and on the way insist they stop at an ATM so he can get some food. 
 
Corey doesn’t have enough cash in his account, so David and Emily join him in an ATM vestibule. It’s one am, and the parking lot surrounding the ATM is abandoned, until a terrifying, huge MAN in a parka stands outside the vestibule; staring at them. Emily gets freaked out; but Corey insists they’re overreacting; until someone else a MAN WITH A DOG, walks up and the MAN kills him, right in front of them.   They all freak out; but none of them have a cellphone. 
 
David tries to run to their car to grab Emily’s phone, but the man breaks through the window, pulls him out and starts beating him.  David manages to make it back into the ATM vestibule; but they know they’re not really safe in there: the lock on the door is broken, but the MAN doesn’t realize it yet. 
 
To make matters worse; they all seem to be suffering from early stages of hypothermia. 
 
They manage to get a security guard’s attention, but he gets killed by the MAN; who smashes his head in with a tire iron.  
 
They are so cold they start to hallucinate a bit; but jump into action when the Man with the Parka bursts into the vestibule. David and Corey attack him and get the upperhand, choking him to death with the wire that attaches the pen to the Atm.  Emily shrieks; realizing THE MAN is still outside; David and Corey killed an innocent man.
 
Corey, fed up, makes a break for it but the man easily catches him and attacks stabbing him in the gut with a screwdriver. 
 
Corey barely survives, and David and Emily run outside to help him get back into the vestibule. 
 
The MAN rolls David’s car in front of the ATM, blocking the door and effectively trapping them inside.  He then pulls a hose to an opening and pours in freezing cold water. 
 
Emily and David start a fire, using deposit slips and the dead man’s lighter; which sets off the sprinklers and an alarm. The man crashes the security guards car into the atm, destroying the glass and injuring Emily; who bashes her head and dies. 
 
David grabs a tequila bottle and makes a Molotov cocktail; burning the MAN alive, but is surprised to see the man doesn’t move an inch; David was tricked and accidentally burned the dead body of the security guard.  Cops arrive and THE MAN disappears. David is arrested for all the murders; and the security camera footage supports the theory, because the man never came within range of the camera. 
 
",ATM.pdf,
"Baster, The",,,Not All Pass,Completed,,Not Tracking,,Lionsgate,,,,Not Film List,,Comedy,"Josh Gordon, Will Speck",,,,"Albert Berger, Ron Yerxa",05/03/2010,"Jason Bateman, Jennifer Aniston, Patrick Wilson, Juliette Lewis",,No Print Coverage,,"Two platonic NYC friends are driven apart when the woman decides she wants a baby and the man is jealous that she doesn't want him to be the sperm donor, so he gets drunk and switches the jar of semen and secretly fathers her child. 

Very funny, should do well for domestic.  (MP)",,,,,,,,,,
Blitz,Cannes 2010,,Not All Pass,Post-Production,,Not Tracking,,Lionsgate,,,,Not Film List,,Crime Thriller,Elliot Lester,$15 Mil,,,"Zygi Kamasa, Steve Chasman, Brad Wyman, Donald Kushner",05/01/2010,"Jason Statham, Paddy Considine, Aidan Gillen, Zawe Ashton, David Morrissey, Richard Riddell, Luke evans, Nicky Henson, Mark Rylance",,No Print Coverage,,"Feature Adaptation of Ken Bruen's police thriller, follows a serial killer shooting for notoriety by killing cops in London","
",,,,,,,,,
borderland,,,Not All Pass,Completed,,Not Tracking,04/19/2010,Lionsgate,,,,Not Film List,,crime/horror/thriller,Zev Berman,,"Zev Berman, Eric Poppen",,"Randall Emmett, Geroge Furla, Lauren Moews, Elisa Salinas",04/19/2010,"Brian Presley, Rider Strong, Sean Astin",,Print Coverage,,"On a trip to a Mexican border town, three college friends stumble upon a human-sacrifice cult",,,,,,,,"
LIONS GATE

TITLE: BORDERLAND
DIRECTOR: Zev Berman
WRITER: Eric Poppin, Zev Berman 
CAST: Sean Astin, Beto Cuevas, Rider Strong
STATUS:
GENRE: Horror/Thriller

LOGLINE: Three high school graduates travel to a Mexican border town looking for fun, but find themselves hunted by a bloodthirsty band of Palo Malobe cultists

SUMMARY:  

In a run down section of Mexico City, two detectives: ULISES BARRERO and ZOILO CRUZ raid the home of SANTILLAN, a renowned witch, only to be taken prisoner by two of his followers GUSTAVO and LUIS. Ulises is made to watch as Zoilo is Tortured and murdered, a warning to all those who oppose Santillan. 

Back in Galveston Texas, three recent High School graduates enjoy their last hurrah before heading off to business school.  They are: ED, a cool headed idealist, Henry, a right-wing frat boy type and PHIL, a sensitive preacher’s son.  The next morning, the three get into their SUV and head over the border to Matanzas, a seedy border town, determined to get Phil laid for the first time.  The three stop at a strip club, where Henry pays for Phil to sleep with AMELIA, a teenage hooker.  They head back to her bedroom, but when Phil hears Amelia’s baby crying in the background, he can’t go through with the sex.  Back at the bar, Ed spots a DRUNK harassing the beautiful bartender VALERIA.  He intervenes, but the drunk slashes him with a knife.  Valeria treats the wound.  Ed manages to charm her and asks her out for the night. She agrees.

Ed, Henry and Phil leave with Valeria.  She brings her cousin Lupe, a Santeria worshipper, whom Henry starts to hit on, despite her objections. Feeling like the odd man out, Phil leaves, saying that he wants to go visit Amelia.  He wanders down a dark alleyway, where he’s kidnapped and driven off by Gustavo and MARIO, his teenage cohort.  

Henry follows Lupe through a graveyard where they find evidence of occult worship, while Ed and Valeria have wild sex.  Ed and Henry wake up the next morning, figuring Phil slept over at Amelia’s.  At breakfast, Ed talks about how he’s not going to business school, instead he’s going to join an international relief group that works in Africa. Henry mocks him for being weak.  Ed and Henry look for Phil at Amelia’s house, but he’s not there.  

Phil wakes up handcuffed to a chair in a wooden shed.  RANDALL, an American outlaw gives Phil food and water, telling him that he’s part of “Papa’s big plan”.  Phil will be used as a spiritual vessel to communicate with the dead: he’s going to be sacrificed.

Ed and Henry report Phil’s disappearance to the police.  While they’re waiting, Ulises arrives, telling CHIEF RAMRIZEZ that he has evidence of a major drug smuggling/occultist ring in Mantanzas.  Ramirez dismisses Ulises, telling him to go back to Mexico City.  Ed and Henry leave the station, hopeless that they’ll get any help. Henry waits at the Hotel, while Ed and Valeria search the streets for Phil.  They happen upon a memorial service for people “taken by the dark ones”.  Gustavo and Luis drive up, telling Ed to forget about his missing friend and go back to the U.S.

Phil escapes from the shed, discovering that he’s in the middle of a cult compound strewn with body parts and corpses. Before he can escape, Randall and GHOST RIDER, a horseman in white makeup, catch him.  Ulises watches with binoculars as Phil is taken back to the shed and SANTILLAN, (A.K.A. Papa) arrives at the camp, greeting his lover/high priestess ANNA.   

Ed, Henry and Valeria meet Lupe at her Santeria shop.  Lupe reveals that that there have been abductions in Matanzas by Palo Molobe worshippers: an evil offshoot of Santeria, In order to make “good magic” with the gods, the have to sacrifice a gringo: Phil.  Henry notices that Gustavo and Luis watching them.  Fed Up, Henry charges them down with a crowbar.  Gustavo shoots Henry through the neck.  When Ed rushes in to help his friend, Gustavo tries to kill him but the gun mysteriously jams.  Gustavo and Luis flee the scene.  

Henry is treated at the hospital for his wound.  Ed refuses to leave, saying that they have to find Phil.  Ulises arrives, telling them that he knows where Phil is.  He explains to them that Santillan is a powerful witch/druglord, who is going to commit a blood sacrifice in order to make his trucks invisible to the police.  Ulises says that the police in Matanzas are worthless, and that he’ll try to rescue Phil on his own.

Lupe returns to her apartment and is attacked by Luis.  Back at the compound, Santillan meets Phil, telling him about the special plan to make good magic with the Gods.  Anna starts shaving Phil’s head with a knife.

Ed and Valeria go to Lupe’s home, discovering that she’s been decapitated and fitted with a goat’s head.  Back at the hotel, the power goes out.  Henry wanders into the lobby and is chased down by cult members, who hack him to death with a machete.

Ed and Valeria return to the hotel, where Ramirez and the police say they’ve found drugs in Ed and Henry’s room.  Before the police can apprehend Ed,  Ulises arrives, accusing Ramirez of taking bribes from Santillan.  He takes, Ramirez hostage escaping from the hotel with Ed.  Ed, Valeria and Ulises drive with Valeria to the cult compound.  Ulises arms himself with a shotgun and pistol, telling Ed and Valeria that he’s going to go rescue Phil on his own.  He tells Ed and Valeria to wait outside, giving them a bag of evidence to take to the FBI if he doesn’t survive.  

Inside the compound, the ritual begins.  Phil begs for his life.  Anna orders that he be gagged.  Santillan slashes his Achilles tendon, bites off his tongue and decapitates him.

Ulises sneaks on to the compound.  Ghost Rider attacks him.  Ed and Valeria speed into the compound, helping Ulises kill Ghost Rider.  They sneak into the main house, discovering Phil’s decapitated head.  Ulises sneaks up on Santillan, but Santillan suprises him, shooting him in the stomach.  Wounded, Ulises manages to gun Santillan down with a hidden pistol. Panic breaks out on the compound.  

Ed and Valeria help Ulises escape in a stolen van, taking refuge at an old Farmer’s house only a few miles away from the U.S. border.  Ulises dies from his wounds.  Randall, Mario and the rest of the cultists surround the farmhouse.  Ed and Valeria barricade the door, arming themselves with Ulises’ shotgun and pistol.  An intense firefight ensues.  Randall and Mario break into the house by driving a tractor through the front door.  Ammo exhausted, Ed manages to hack Randall and Mario to death with a machete.

Leaving the carnage behind, Ed and Valeria hike to the Rio Grande, carrying Ulises bag of evidence with them.  Washing the blood from their hands, they watch the sun rise over the border, scarred by a horrible ordeal, 


COMMENTS:

A mindless, sloppy retread of a seemingly spent genre.  While this script has the opportunity to become an intriguing exploration of the mysterious world of occultism ala The Serpent and the Rainbow, it veers into stock slasher territory, where the potential for an original Santerian world are pushed aside for wanton gore and a Dawn of the Dead style action.  The seemingly central goal of the story is that Ed and Henry rescue their friend, but this is completely abandoned when Phil is ritualistically murdered, leaving the plot in chaos.  Because the characters are never truly established, we have no idea why they do what they do, or any reason to care about their survival.  Ed’s relief worker speech seems like a clumsy way to tack humanism to his character, while Valeria has no plausible reason to risk her life to aid a bunch of rich gringos in their quest the rescue their friend from bloodthirsty cultists.  In addition, the script seems anchored in a disturbing xenophobic/racist mentality that the third world is a viper pit of primitive savagery.  This is a solid pass. 

",,borderland.doc
Facing Ali,Cannes 2010,,Not All Pass,Completed,,Not Tracking,,Lionsgate,,,,Not Film List,,Sports Doc,Pete McCormack,,,,Derik Murray,05/01/2010,"Muhammad Ali, George Chuvalo, Sir Henry Cooper, George Foreman, Joe Frazier, Larry Holmes, Rob Lyle, Ken Norton, Earnie Shavers, Leon Spinks, Ernie Terrell",,No Print Coverage,,An explosive new feature that chronicles the journeys of 10 heavyweight boxers who faced and fought The Greatest of them all - Muhammad Ali,,,,,,,,,,
for colored girls ,Cannes 2010,,Not All Pass,Pre-Production,,Not Tracking,,Lionsgate,,,,Not Film List,,Drama,Tyler Perry,,Tyler Perry,,"Michael Paseornek, John Sacchi, Paul Haul",05/03/2010,"Loretta Devine, Anika Noni Rose, Kimberly Elise",,No Print Coverage,,The trials and tribulations of eight women who all witness a horrible tragedy which they must use the strength in their friendship to overcome.,,,,,,,,,,
"Good Guy, The",Cannes 2010,,Not All Pass,Completed,,Not Tracking,,Lionsgate,,,,Not Film List,,Comedy,Julio DePietro,,,,"Rene Bastian, Linda Moran, Julio Depietro",05/01/2010,"Alexis Bledel, Scott Porter, Bryan Greenberg, Aaron Yoo, Anna Chlumsky, Andrew McCarthy",,No Print Coverage,,"Some guys seem to have it all: good looks, easy charm, and easy money. Tommy Fielding is one of those guys...  ","Any offers welcome in BLX, straight to video ok (MW)

",,,,,,,,,
Happily N'ever After 2: Snow White - Another Bite at the Apple,Cannes 2010,,Not All Pass,Completed,,Not Tracking,,Lionsgate,,,,Not Film List,,Animation Adventure,"Boyd Kirkland, Steve Gordon",,,,"Jason Netter, Loris Kramer Lunsford, Susan Norkin",,,,No Print Coverage,,"Snow White discovers through the seven dwarfs boot camp that being a princess, versus acting like one, are two different things.",US Distr: Lionsgate,,,,,,,,,
haunting in georgia,Cannes 2010,,Not All Pass,Pre-Production,,Not Tracking,05/01/2010,Lionsgate,Active,,,Not Film List,,Thriller,Tom Elkins,,David Coggeshall,,Paul Brooks,05/01/2010,,,Print Coverage,,"Shortly after moving into their ideal new home, a couple grows concerned when their young daughter begins encountering mysterious strangers that no one else can see. The couple’s greatest fear is realized when they themselves begin to witness terrifying phenomena in and around the house, providing clues that could unlock a chilling mystery that has remained a closely guarded secret for generations.    ",,,,,,,,,HIG 7.1a.pdf,
Hunger Games,Cannes 2010,,Not All Pass,Development,,Not Tracking,03/26/2010,Lionsgate,,,,Not Film List,,Drama,,,Suzanne Collins (novel),,Nina Jacobson,,,,No Print Coverage,,A young girl joins a survival contest in order to save her community in a dystopian future.,,,,,,,,,,
i'm with cancer,Cannes 2010,,Not All Pass,Pre-Production,,Not Tracking,,Lionsgate,,,,Not Film List,,Comedy,Nicole Holofcener,,Will Reiser,,"Evan Goldberg, Seth Rogen, Ben Karlin, Will Reiser",05/01/2010,"Seth Rogan, Jospeh Gordon-Levitt",,No Print Coverage,,"When Adam strolls into the doctor's office one day for some routine tests, everything is great. He's 25 years old, has a good job and a hot girlfriend. And then, he's diagnosed. With Schwannoma Nerofibrosarcomas. What? Translation: some ridiculously rare form of cancer",,,,,,,,,,
immortals 3D,Cannes 2010,,Not All Pass,Pre-Production,,Not Tracking,,Lionsgate,,,,Not Film List,,Epic Action,Tarsem Singh,$75 Mil.,Charley Parlapanides,James Henry/Steve,"Ryan Kavanaugh, Gianni Munnari, Mark Canton",05/01/2010,Henry Cavill,,Print Coverage,,A mythological tale set in war torn ancient Greece where the young warrior prince Theseus leads his men in a battle against evil that will see the Gods and Men fighting against the Titans and Barbarians.,"AKA title War of Gods

",,,,,,,"LOGLINE: 

Zeus and the Greek Gods oversee the rise of a prophetic warrior that will help save humanity from the clutches of an evil Barbarian King.

COMMENTS:
This is a far fetched rendition of classical Greek figures. Structurally, the story develops very slowly with a verbose narrative of a long-winded back story of the characters and setting. Once the story begins, the pace picks up and an action filled film takes over. The plot is a bit muddled for the first act, but the second and third acts somehow manage to come together. The main problem with this script is that the writing isn’t very good, the dialogue is routine and we have a difficult time cheering for the main character, Theseus. It doesn’t help that Theseus dies after defeating the barbarian king as we’re left with little satisfaction as to what we’ve just seen. Greek tragedies usually have bittersweet endings, but, more often than not, we care about the hero before they meet their terrible fate.  

SM COMMENTS
The only drawback in my mind is the high prices.  Script is exhilarating. It's a clear follow up to 300,  will be directed by Tarsem Singh, so the visuals are sure to be strong, but the script doesn't have the same weird edge you'd associate with him.  It's a fast paced action, set in Grecian times, the battle scenes are well drawn, the hero's quest is thrilling, the climactic scene between the Gods, Titans, Humans and Barbarians has the potential to be absurdly cool.  A List Popcorn, but the price is super high, and its not a cast driven thing. 

SUMMARY:

	A WOMAN tells a young child about the birth of earth and how the Gods created the forces of good and evil, Gods versus the Titans. The Titans were banished into Mount Tartaros to be exiled forever. Zeus and the Greek Gods created ‘man’ to populate earth and have free will to exist. The remaining forces of evil are led by a BARBARIAN KING who challenges humanity. It’s a test by Zeus to see if mankind worthy and loyal to him. 
	The Bow of Cryptos is a formidable weapon that’s hidden by Zeus with hope that the prophet warrior, THESEUS, will find it and use the mighty power of the bow to save mankind. The Barbarian King wants to possess it in order to use it to overwhelmingly destroy the humans that oppose him and enslave the rest. The race to obtain the mythical weapon causes KING PETROS and the Barbarian King to clash every step of the way. 
	In a small mountainside village, Theseus and his mother, SOPHIA, are commoners being oppressed by the locals who claim they curse their village. It’s not clear how or why they are so hated but things come to a crashing head when King Petros arrives to protect the villagers from the Barbarian King. Disguised as an OLD MAN, Zeus tries to guide Theseus to his destiny. 

Theseus, however, is bitter and doesn’t believe in the myths about the Bow of Cryptos or any destiny that will change the fate of mankind. He’s a ferocious warrior with no faith.
	When King Petros proclaims that he’ll protect the villagers, but they have to move into his fortress on the Walls of Mt. Tartaros. The villagers will go and join forces with the Petros but Theseus and his mother must stay behind. Angry, Theseus refuses to join the villagers anyway. Unfortunately, after the king’s Hoplite men leave, the barbarians attack and kill Sophia with the villagers who didn’t leave. Her dying words to Theseus are for him to fulfill his destiny and find his royal father. Confused and wanting revenge, Theseus sets out to kill the Barbarian King. 
	Along the way, Theseus is captured by the Barbarian King and made a slave on a ship where he meets other captives including the beautiful DESPINA. She’s one of many enslaved women who are suspected of being an oracle. The Barbarian King wants to use the oracles’ powers to enhance his own. While being a slave on the ship, Theseus escapes with a band of men and is told by the Old Man that in order to defeat the Barbarian King, he must find the Bow of Cryptus after saving the oracle. Despina turns out to be the oracle and joins Theseus’ men on their journey. The men consist of; MEGALLOS, STELLIOS, NIKOS, HERON, and his followers.  
	Theseus and Despina fall in love along the way. All during the story, Zeus is urged by his godly assistants, ATHENA, ARIES, HELIOS and POSEIDON, to help the humans. The barbarians outnumber them as innocent humans are repeatedly defeated and massacred. Zeus doesn’t want to interfere beyond enlightening him. Theseus and his band win several small skirmishes before they find the Bow of Cryptos. Feeling empowered, Theseus and his men are warned by Despina not to avenge the murders of a monk monastery, but Theseus doesn’t listen. As a result of attacking the barbarians, they fall into a trap and lose the Bow to the Barbarian King.
	The Barbarian King gathers his army and assaults King Petros’ kingdom at Mt. Tartaros. Theseus and his followers join the king and, at the same time, discover that King Petros is his long lost father. They counter attack the barbarians while trying to retrieve the bow. King Petros is killed in the battle and Theseus assumes the throne. The barbarians begin to over run the humans as the walls of Tartaros crumble from the power of the bow. The evil Titans are freed from their dormant captivity. 
	Zeus and his gods finally join the fray. It’s a vicious fight and there are heavy loses on both sides. Theseus challenges the Barbarian King to a one on one hand to hand combat. The winner will decide the fate of the earth. The Barbarian King agrees and the two fight to the death. Theseus defeats the Barbarian King, but dies from his wounds. Mankind is saved. The woman narrator turns out to be Despina and the child is her son fathered by Theseus. 
	







",,warofgods.doc
Kick Ass,,,Not All Pass,Completed,,Not Tracking,,Lionsgate,,,,Not Film List,,Action Adventure,Matthew Vaughn,,,,"Matthew Vaughn, Brad Pitt, Kris Thykier, Tarquin Pack",,"Aaron Johnson, Christopher Mintz-plasse, Mark Strong, Chloe Moretz, Nicolas Cage",,No Print Coverage,,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so. ","Took a long time to set up and the story developed too slowly, whenever the little girl was on screen it was fun but ultimately was not very excited. could do really well in the US but not convinced, really love it to make it work (MW)

BLX: 1.5M
FR: 4.75M
IT: 4.25M
SW: 400K
SCAN: 1.5M
LA: 2.4M
INDO: 175K
PORT: 275K",,,,,,,,,
Killers ,,,Not All Pass,Post-Production,,Not Tracking,,Lionsgate,,,,Not Film List,,"Action, Comedy",Robert Luketic,,,,"Scott Aversano, Ashton Kutcher, Jason Goldberg, Mike Karz",,"Ashton Kutcher , Katherine Heigl",,No Print Coverage,,"An untouchable assassin quits the business when he meets the girl of his dreams. His trusting wife has no idea about his past until they discover that a hit has been put on him….and that the hired killers may actually be their closest friends and neighbors. Their seemingly perfect lives flipped upside down and their marriage put to the test, they discover a new level of excitement together as they team up to find and fight the killers.","BLX: 1.2K
FR: 4.5K
IT: 3.6K
SW: 300K
SCAN: 1.2M
LA: 2.3M
INDO: 200K
A/N: lionsgate
PO: 250K",,,,,,,,,
LOL,Cannes 2010,,Not All Pass,Pre-Production,,Not Tracking,,Lionsgate,,,,Not Film List,,Comedy,Lisa Azuelos-Alessandrin,,,,,05/01/2010,"Miley Cyrus, Demi Moore",,No Print Coverage,,"In a world ruled by YouTube, iTunes, and Facebook, Lola (Cyrus) and her friends navigate the peer pressures of high school while dodging their overbearing and clueless parents. When Lola’s mom, Anne (Moore), 'accidentally' reads her teenage daughter’s racy journal, she realizes just how wide their communication gap has grown. Through hilarious and heartfelt moments between mother and daughter, LOL tells a coming-of-age story in modern times.",,,,,,,,,,
