Title, Coverage Text Only
abel [CD],
backwoods,"LOGLINE: When the father loses his job and society collapses, a family of four retreats to the father’s childhood cabin in the woods to try to survive in the wild. 


COMMENTS: 
A modern thriller. Very depressing as current state of the depressed economic world is now even worse! All currencies falling and the Taliban is threatening to rule the world. We follow a family in which the father has lost his job. NYC has become so expensive that they decide to live in a remote cabin in the woods and leave NYC behind. At first there are some cheap thrills with writer using dreams and other false alarms to make you jump in your seat. Eventually the family finds out that the world has actually come to an end, all major cities destroyed. It's the wild wild west out there with looting, murder and fighting for survival. 

Bart Freunlich is never been my favorite. He get films made because he is married to Juliane Moore. I would not pre-buy this film. 

SYNOPSIS:
In a secluded cabin in the snow-covered woods, solemn seven-year-old KATE is spelling “survival” on a scrabble board while her exhausted mother NATASHA grimly rinses blood-soaked rags in the kitchen sink.  Outside, Kate’s thirteen-year-old son ALEX approaches with his father SAM.  Both look spent and wary.  The family attempts to function normally despite some obvious, recent trauma that remains unspoken.  

Flashback six weeks ago.  The family reluctantly leaves their New York City lives; Sam lost his job amid a sudden nationwide financial collapse.  Alex hates to leave his electronic toys, but Sam tries to put an upbeat spin on the whole ‘adventure’.  The family is moving to a secluded cabin far upstate, the home in which Sam grew up, and where Natasha will begin immediately home-schooling the kids.  

They arrive at the cabin and settle in to a life without TV or any modern amenity.  Even electricity is scarce, but Sam enjoys cutting wood and instructs Alex on how to reaffix a belt onto the wheezing generator in the basement, and how to shoot a gun.  Alex has brought along a little Survival pamphlet that he shares with Kate and allows her to borrow.  

After a few weeks, Alex discovers that someone has pitched a tent on their land.  As the adults go to investigate, Alex is sent home.  He retreats to a small hideaway with some old Playboys, and is astonished when the inhabitant of the tent sneaks in just then to steal some bottles of wine.  This is MEAGAN and she’s young and pretty; she talks her way out of The tent’s owner also discovered the hideaway and had snuck into it to steal some provisions for herself.  She is the young and beautiful MEAGAN, and she gets Alex to promise not to reveal who she is, or that she’s camping on their land.  Alex agrees, and Meagan leaves.

Later, Natasha heads to her MOTHER’S in the city to procure some provisions and make sure her mother is all right.  While she’s away, a family friend BRIAN appears at the cabin, shell-shocked.  He tells Sam that civilization has collapsed; anarchy and looting is all that is left of New York, and most of the city’s inhabitants have fled.  Natasha comes to the same conclusion as she arrives at burned-out shell that once was the Big Apple.  She goes to her mother’s home only to find the older woman dead; she is confronted by a LOOTER and nearly kills him, bashing his face with a pipe.  The Looter points to an empty bottle of pills and Natasha realizes her mother killed herself.  After driving the Looter away, she he retrieves some mementos (including her father’s sniper rifle) and burns her mother’s body in the back yard.  

Meanwhile, Brian takes off in search of Natasha so that Sam can stay with his children.  Sam is certain that Natasha needs help, so he leaves the kids for a few hours – assuring Alex that he’ll be back and that the boy is in charge of Kate while he’s gone.  Sam walks out to the local ranger station, only to find it abandoned in a hurry.  He finds a written log with a final entry describing the RANGER’s haste to get back to his own family.  

Back at the house, the electricity supply wavers, so Alex attempts to adjust the generator the way his father showed him.  His sleeve gets caught in the belt and he shouts for Kate to shut it 
BACKWOODS – page 2 

off.  She finally does, but Alex’s finger is badly mangled.  Kate does what she can to treat his wounds with gauze and tape, and then he passes out. 

Sam returns home to a bloody trail and guiltily cuts the skin from the finger, removing it, then ices it while forming a tourniquet for the hand.  Hours later, the trio hears a car driving up from the main road and rejoice – Mom’s home!  But it is not Natasha.  Instead, driving the car is a man named JIM, and inside is Meagan, whom no one but Alex has seen before.  

Sam comes out of the house holding a gun on Jim.  Alex also aims a gun at Jim, which irritates him.  Dazed from loss of blood and clearly freaked out, Alex refuses to lower the weapon, even when Sam asks him to.  Alex startles and shoots Jim, but it’s just a flesh wound, and it enrages the man, who forces Sam and Alex to drop their guns.  Despite Meagan’s pleas, her brother Jim ties up Alex and Sam and treats them as prisoners.  At Jim’s instruction, Sam ties up Alex’s sore hands, and Jim doesn’t see Sam put a sharpened stick into the boy’s hands.  That evening, as Meagan is tending Jim’s wound and then removes Kate to a far bedroom, Sam and Alex try to loosen their bindings and escape.  Jim catches them and knocks Sam out with the gun. 

But little Kate wakes up alone in the back bedroom and remembers what her brother told her about the contents of the survival manual.  She dresses warmly, opens a window, and runs off into the woods by herself.  A concerned Meagan runs after her, but then Meagan is attacked and mauled by a bear.  She is able to fight the bear off, and shoots at it, but she too is badly injured.  Kate, still running and without any knowledge of the bear attack, runs into the street and is nearly hit by Natasha; the girl tells her mother about their family’s captors.  Natasha drives up to the house but remains hidden by the trees.  She instructs the girl to stay in the car while she takes the sniper rifle and positions herself elsewhere.

Injured Meagan begs Jim to let Sam and Alex go.  Jim finally breaks down; the stress and powerlessness is too much.  But Jim finally agrees to cut Sam and Alex free, and approaches them with a giant carving knife.  Outside, Natasha has Jim in her crosshairs, and blows him away.  When Meagan runs in to see what’s wrong Natasha shoots her in the chest.  Natasha runs into the house to be reunited with her family.  In the final beat, Alex and Sam drab the two bodies out into the woods to bury them in the half-frozen ground.  Natasha cleans the puddles of blood from the cabin floor.  As in the opening scene, Kate plays Scrabble alone.
"
Collapse ,
EXIT THROUGH THE GIFT SHOP,
FRANCIS of ASSISI ,"LOGLINE
In early 13th century Italy, wealthy silk merchant Francis hears the voice of God and trades material wealth for an impoverished life and gains followers.

COMMENTS
This is a fairly straightforward biopic about an admirable man who lived a long time ago but wasn’t Jesus. Francis had an impressive discipline and a lot of wise things to say, but this script doesn’t entirely succeed in making this character’s philosophy universal across religions or poignantly relevant to present day. Francis’ anger that his monks would dare read any book that wasn’t the Gospel because book knowledge is a form of greed and pride may not sit well with today’s audiences or ME! Does that mean we are all supposed to stay ignorant? He himself knows how to read and write. Is that a sin too? When Francis speaks with the Sultan, there are several interesting debates that begin brushing conflicts more familiar to people in the 21st century, but it is ultimately overshadowed by Francis’ aim to convert the Sultan despite their agreement that their religions are intertwined. Stylistically, the writer added voiceover for most of the characters as they express how Francis influenced them—it would have been interesting to see that choice paid off (who they were speaking to, why they each vocalized these thoughts – maybe to canonize Francis? Modernize this into a documentary-style period piece?); but without such a wrapper they tend to distract more than enhance.
BOTTOM LINE
Francis has an interesting story, being a man who could have had wealth but chose to live in total poverty instead. There are some written gems of wisdom in here and a few internal struggles that are easy to empathize with, but he is not Jesus Christ, and me being clueless about his real popularity amongst Catholics, I can't judge how eager they are to see a film about him. I would say, for Catholics territories only, but I would not pay too much. It could end up as a history lesson, and young audiences will not be interested.

SUMMARY
Ailing 44-year-old monk FRANCESCO (FRANCIS) stumbles through the woods, crying that he’s had a vision that there is nothing after death. Loyal Brother LEO brings him to a cabin where he begs hunter URSO for shelter. Urso recognizes Francis as the legendary monk and questions Francis’ religious devotion. Flashback 20 years earlier to 1204 Assisi, Italy: Francis is the son of a rich silk merchant and enjoys wine and women. While romancing lovely SYLVIA, he mentions having heard God’s voice once during battle and longing to hear it again. Upon leaving the tavern, he sees a leper and gives her his cloak. He walks into the impoverished outskirts of Assisi, then finds a rundown chapel where he meets its solitary inhabitant, a monk named LEO. Francis prays for guidance and believes he must re-build the chapel. He sells his father’s silk for materials and starts rebuilding with Leo. When his father confronts him, Francis gives him all he owns in return until both parents accept his choice and he leaves them forever. 

Months later, Francis’ rich friend BERNARDO returns to Assisi and is shocked to see a happy Francis begging on the street. At dinner, Francis puts ash on his food to discipline his body to not want more than it needs. Their conversation about the false value of material goods inspires Bernardo to give his wealth away and join Francis’ brotherhood. They’re joined by others including PIETRO the lawyer and ELIAS the Canon. They rebuild the chapel, sleep in the stables, help others and live meagerly but joyfully. Francesco wants to preach as well, but he’s not wholly inspired until Leo breaks a clay bowl he made because he became too attached to it. Francis realizes joy is not in triumph but in defeat, when one becomes broken so they can be truly remade by God. He preaches in the piazza when soldiers are being cheered on their way to battle, saying no war is justified, since the only enemy we have is our own sin. Despite the booing, he reminds all that Jesus loved those who hated Him, and he inspires young wealthy lady CHIARA to join his brotherhood. Bishop GUIDO praises Francis’ work, but asks that Chiara be given her own cloisters and that he may only preach if POPE Innocent III sanctions their order, which is considered too strict and austere. The Pope, despite initial misgivings that Francis is a mystic and heretic, has a dream in which Francis supports a collapsing church and personally comes to their humble stables/sleeping quarters to bless the Franciscan Order.

Two years later, their Brotherhood has expanded and Francis decides to leave for the Crusades in Egypt with Pietro. When the Christian soldiers at the hospitals turn their ears from him, an ailing Francis decides to speak with the SULTAN Al-Kamil: if he can convert him, then the war will end. He and Pietro arrive at the Sultan’s tent and Francis’ bravery and intellect impress the Sultan enough to let him live. They talk everyday about religion: Francis insists his God is peaceful, but his followers sometimes justify their wars in His name. He and the Sultan agree their religions are but two branches on the same tree and pray together. But ultimately, the Sultan admits that as long as they agree all faiths are fingers pointing at the moon and not the moon itself, why should he convert? By this point, Pietro insists on taking a sick Francis home to Assisi. 

They return to find the Brotherhood much changed – the monks wear capes and sandals and believe the original order to be too strict to be maintained. Elias writes a more lenient order for Francis to sign. He signs it but then insists it is no longer his order but Elias’ and leaves. Leo joins him and begs him to return and lead the Brotherhood back to its origins, but Francis says he is now the bowl that must be broken. Francis and Leo live in the forest with no possessions until we return to where the film started, where they join Urso who takes them up La Verna Mountain at their request. Francis meditates on a ledge for several days and nights, begging for a sign that all his work will count for something. Leo grows increasingly worried over Francis’ mumbling, and Urso believes Francis to be crazy. Then Francis achieves peace, watching time lapse and realizing during his brief existence, he needs to accept that God’s will be done, not his own. His hands bleed. 

With a new calm that makes Urso a devout believer, Francis returns to the Brotherhood with the wounds of the Stigmata and reconciles with Elias. As Francis dies, Bishop Guido mentions there is talk of Francis being a saint – Elias mutters that he knows Francis is a saint. When he passes away, hundreds of followers bring his body to be buried in the lepers’ graveyard (at Francis’ request). Before burial, Sister Chiara (reaching through the walls of her convent) kisses Francis’ hand. At that moment, a flock of larks springs from a tree and flies off in the shape of a cross. 
"
Goats,"LOGLINE 
Fourteen-year-old Ellis heads off to private school back East, leaving his mom and their eccentric caretaker, Goat Man, behind.  As he breezes through academic challenges, Ellis finds that not everything is so easy–– his world has expanded and he must reconcile himself with his father’s new involvement in his life, as well as a dawning understanding that Goat Man might not have it all figured out after all. 

COMMENTS 
A good script– meandering but rarely out of control, Goats is at its best in its lighter scenes, mostly those taking place in Arizona (fortunately there are many).  It can occasionally drag, and seems to have few essentially connected events, giving it a dreamlike quality in which the whole is greater than the sum of its parts.  As a quirky, coming-of-age comedy it works, but Ellis’s surroundings and experiences are so beyond the norm that we can only really connect to his underlying feeling of being a normal kid surrounded by dysfunction.  I would also add that this is a very American story, and though the characters and Ellis’s struggles may be universal, they are expressed through a particularly American set of circumstances.  Recommended with reservations. 

MW COMMENTS
Very American Indie coming of Age stoner movie. Nothing really happens. There are gorky and nice visual moments, but ultimately another movie to premiere at Sundance with no international potential. Squid and the Whale meet The Wackness. It is very unclear who the public for this film is.

SUMMARY 
ELLIS returns from one of his treks into the desert with bearded, eccentric GOAT MAN and his goats and says goodbye to his mom, WENDY.  He is off to Gates Academy, a prestigious boarding school in Pennsylvania.  Upon arrival, he meets his insecure and mildly obnoxious roommate, BARNEY, as well as the COACH of the crew team, who knew ELLIS’s estranged dad, FRANK, when FRANK was at Gates.  ELLIS checks out an attractive dining hall employee, and wishes he had some weed to smoke.  It isn’t long before he’s caught smoking herb with another student by COACH, who blackmails him into joining the crew team. 

Back in Arizona, GOAT MAN tries to figure out how to send ELLIS marijuana through the mail, and deals with WENDY’s new boyfriend, a pretentious jerk named BENNET.  Unable to reach WENDY on the phone, ELLIS decides to take up FRANK’s offer to spend Thanksgiving in D.C.  ELLIS stays at BARNEY’s house in Georgetown, and when they try to buy some weed off of a crazy street dealer, they get locked inside his car and before they can escape, the guy molests BARNEY, forcing him into an open-mouth kiss.  ELLIS meets up with FRANK and his new, younger, pregnant wife, JUDY.  JUDY seems like a reasonable person to ELLIS, and despite getting in trouble with FRANK for sneaking out and smoking weed with BARNEY, and FRANK’s inability to make up for his lack of communication over the years, ELLIS leaves D.C. a little bit closer to his father.  Upon returning to Gates, BARNEY and ELLIS get in a fight, but manage to make up and study together. 

ELLIS returns to Tucson for Christmas holiday and finds that things have changed in his absence:  GOAT MAN has cut off his hair and beard, and started swimming laps early in the morning, mostly to annoy BENNET.  He has also, to ELLIS’s disappointment, slept with their young, bitchy neighbor.  GOAT MAN and ELLIS reconnect over their dislike for BENNET and go on an overnight trek, crossing the Mexican border.  It turns out that GOAT MAN is meant to traffic cocaine across the border, but their trek ends disastrously, with GOAT MAN and one of the goats being swept away by a flooded river.  ELLIS is forced to return home and then back to Gates, ignorant of GOAT MAN’s fate. 

Back at Gates, ELLIS’s bike is stolen, and then recovered by FRANK, who gets punched in the process.  ELLIS learns GOAT MAN is alive when he receives a packet of weed in the mail, but nearly misses the crew race the next day after smoking too much.  After a lecture from COACH, ELLIS renews his commitment to his team.  When he returns to Tucson at the end of the year he finds that BENNET is gone, WENDY has mostly sobered up, and GOAT MAN is there, his old reliable self.  WENDY gives him 40 acres of land for his birthday, and after turning down a hit off a joint from GOAT MAN, we see that ELLIS has settled into his own path.
"
Holy Rollers,
Moth Diaries,"
LOGLINE
 A gothic Vampire story set in an all-girls boarding school in New England.   

COMMENTS
Script, though engaging, for me was slightly unsatisfying.  Feels like a lot of the action in the third act needs to be amped up a bit and the denouement did not have the effect that I would have liked this to have.  There are a lot of references to budding sexuality and female desires; the couple of sexual scenes hopefully will come across as erotic yet as this is set in an all-girls boarding school, it may not be too racy as I suspect they are going for the TWILIGHT audience. 

My guess is that this is going to be very atmospheric and stylized, adding to the seductive nature of the material.

The narrator and protagonist is Rebecca, yet the catalyst/vampire is the Ernessa character.  Rebecca deduces fairly quickly that Ernessa is a vampire yet I would have liked to see more confrontation between the two - there are a couple of powerful scenes but the way this is written - are we to believe that Rebecca is emotionally unstable and going through her own demise or is she certain that Ernessa is truly a vampire - there is a good amount of ambiguity.

I like this and think it has potential yet am not sure if this is a pre-buy film.  It has all of the elements but I am not convinced - would recommend reading if teen vampire stories and Mary Harron are appealing.

SUMMARY
Rebecca, a somewhat troubled teen from a humble family of artists is returning to her fancy New England boarding school.  She is incredibly excited to see her best friend Lucy - blond, blue eyed, wealthy - after summer break.  The two have a very special bond which means the world to Rebecca. When a new girl, Ernessa, comes to school, Rebecca immediately gets a weird vibe from her and feels that there is something off about her - she doesn't eat, arms and legs are always covered and there is a weird, earthy, dead animal smell that emanates from her room.  To make matters worse, Lucy seems absolutely taken with her and ignores Rebecca, spending time and growing intimate, as teens girls do, with Ernessa.

Interestingly, Ernessa implies to Rebecca that they have a lot in common - their looks - dark with red lips; daughters of tortured artists who died; they both study Greek and play piano, and she knows that Rebecca's father was a suicide - something that bothers Rebecca.  Rebecca starts following her after animal deaths around campus become more common, and sees Ernessa, skinny with almost translucent skin, flailing to swim and hating the phys ed teacher for forcing her.  Two more deaths on campus come soon after.  Rebecca is convinced that Ernessa is behind all of this.  

All the while, Lucy is growing thinner and paler, while getting more and more close with the vamipress.  Rebecca is distraught, her friends think she acting strangely and one night while smoking hash she has a weird vision involving Lucy and Ernessa - this is when Lucy really takes a turn, and one of her other good friend gets expelled for throwing a chair out the window, apparently induced by the hash.  Soon another of Rebecca's friends, who also believes Ernessa's behavior is odd, was found dead, appearing to have jumped from the window - though upon closer examination, it seems she may have been pushed.

Rececca is reading a vampiric novel in class - Carmilla -and goes to speak privately with her teacher about vampire lore.  The teacher seems to have a bit of a thing for Rebecca and is also slightly worshippy of her deceased father, who was an accomplished poet, not to mention troubled.  He and most of Rebecca's friends feel that she is jealous of Lucy and Ernessa's friendship and is acting out as a result of her father's suicide.

Lucy ends up hospitalized at one point, refusing to see Rebecca but allowing Ernessa for visits.  Rebecca is crushed.  Lucy makes a recovery and Rebecca is convinced Ernessa is going to 'take her' upon her return.  She goes to speak to the English teacher about her suspicions and he dismisses them as jealousy.  The next night, Rebecca follows Lucy and Ernessa out into a field and literally sees Ernessa floating, holding Lucy by her golden hair - then Lucy collapses.  Ernessa disappears and Rebecca runs to Lucy - she is dead.  Rebecca is found with the body and the other girls think she was responsible.

Rebecca knows the truth and continues following Ernessa who keeps appearing to her at odd times, when she is alone and twice offers her a razor blade so that she can 'free herself'.  When Rebecca is finally able to get into the school basement to snoop around and finds Ernessa's trunk - that appears to be ages old, she opens it up to find dirt with the imprint of a body and Ernessa's diary, which she reads.   She is determined to stop the vampire and goes back to her crypt while Ernessa is sleeping in there and tries to set the trunk and Ernessa on fire.  She is taken away for psychiatric care, fulfilling the prophecy everyone believed for her.  Ernessa vanishes...

"
My Trip to Al-Qaeda,
"special relationship, the",
vidal sassoon the movie,
Golden Slumber ,
I’m in Trouble! ,
"last godfather, the",
No Mercy,
Our Fantastic 21st Century,
Sayonara Itsuka,
White Night,
Zambezia,
AURORA,
le quattro volte,
TENDER SON - THE FRANKENSTEIN PROJECT,
TETSUO THE BULLET MAN,
Women Without Men,
7.5 Steps,
All good Children,
Amer,
Carre blanc ,
Castro's Daughter,"LOGLINE 
ALINA, Fidel Castro’s illegitimate daughter, grows up in her father’s shadow. Unhappy with the ways of his regime she eventually resolves to flee the country. 

COMMENTS 
Worth reading; the subject matter seems perfectly suited for awards type material, and there are definitely powerful themes, scenes and segments; as well as one or two exhilarating sequences – most notably when ALINA flees Cuba in disguise.  The relationship between the four generations of women, LALA, NATY, ALINA and MUMIN is particularly powerful, as each stubborn, smart woman is forced to make terrible decisions in an attempt to carve out a life amidst desperate circumstances; and ALINA & MUMIN’s freedom is the culmination of all of their struggles.  Despite the abundance of strong material, the script didn’t move me emotionally in the way I’d hoped; some of the scenes had the potential to be heart breaking, but I never really connected emotionally and think that’s where the script falls short. I also think it drags in points.  Worth reading and considering; interesting project but flawed. Also, Moresco has produced great films but is not really known for direction. 

SUMMARY 
LALA, the narrator of the story, opens the film describing the political strife associated with Castro’s rebellious take over of CUBA from BATISTA. LALA’s daughter NATY is excited to bring her young daughter ALINA to a parade heralding FIDEL CASTRO’s (along with his brother RAUL and his compatriot CHE) triumphant return.  LALA warns her daughter that CASTRO is a “devil” who cares nothing for NATY or ALINA, despite the fact that he is Alina’s father.   NATY is devastated when CASTRO refuses to acknowledge them during the parade.  

NATY’s husband PAPI ORLANDO fears that the revolution will drive him and his peers away, and he flees the island; taking his daughter, NINA (ALINA’s half sister).  NATY doesn’t stop him, her love for Fidel still evident.

In the ensuing months and years, NATY, who considers herself not only Castro’s lover but also an integral member of the revolution, is completely cut off from the inner circle of the revolutionaries, despite her fanatic devotion. Fidel Castro refuses to even see his daughter. 

After relentless persistence, Fidel spends one night at NATY’s home, meeting the beautiful ALINA for the first time; he is instantly smitten with his daughter.  His relationship with NATY, however, will clearly never be rekindled.

NATY takes an overseas job as an ambassador to France, and ALINA is placed in a “voluntary” work camp. She is treated harshly in the camp, so as to avoid accusations of preferential treatment. She befriends Che Guevara’s daughter HILDITA, as well as EDUARDO; a young son of a black market entrepreneur.  EDUARDO provides them with booze, smokes and other illicit material that get them in trouble with the head mistresses of the camp.  EDUARDO, after kissing ALINA, realizes that he is gay.  The leader of the camp catches them skinny dipping, which prompts a visit from Fidel, who reprimands his rebellious daughter. 

Alina is devastated to find that her friends have been removed from the camp.  ALINA goes on a hunger strike… and after her father reacts with a panic, she realizes that she has the power to manipulate him… he is terrified about how it would look to the world if his daughter died of starvation.  “I’m bringing your mother back from Paris… no more of this!”

As a young woman in her early 20s she reunites with Eduardo and Hildita and the three party at nice dance clubs; ALINA irritates her father by marrying a string of worthless men; the last of whom gets her pregnant.  

FIDEL visits Alina in the hospital and meets his granddaughter MUMIN.  Fidel asks her to finally take the Castro name; and give it to her daughter as well, but Alina refuses. 

HILDITA dies of cancer; she tells ALINA that she’s been poisoned (figuratively) since finding out that her father was set up by Fidel; “the necessary hero,” he’d been made into a martyr.  Fidel doesn’t attend the funeral of his former best friend’s daughter. 

Alina becomes more politically aware, and realizes her father’s policies are wildly flawed; especially when he cracks down on “queers” and her friend EDUARDO gets imprisoned and raped by guards. 

ALINA turns to her father for help for Eduardo, but Fidel demands her loyalty in return. ALINA gets Eduardo out and he leaves Cuba, heading for Miami.  

CUBA meanwhile, falls into poverty after the fall of the USSR and Fidel is forced to find a new way to sustain his people economically, opening the door to tourist trade in Havana.  To celebrate, they plan a massive festival in which ALINA will serve as a performer in a gala show. 

EDUARDO sends spies to Cuba to help ALINA defect. She declines the initial offer because she would have to leave her daughter behind, but Eduardo’s friends vow they can help MUMIN get to the USA as well.  ALINA and MUMIN reluctantly agree to the plan. 

The night of the gala show, ALINA dresses in a disguise and barely manages to board a plane to Miami.  MUMIN joins her there shortly thereafter.   





"
je suis heureux que ma mere soit vivant,
Les Herbes folles,
"Politist, Adjective",
Portrait of a Fighter as a Young man,
principles of life,
bloodfist 2050,"NEW CONCORDE

TITLE: Bloodfist 2050
DIRECTOR: 
WRITER: 
CAST: 
STATUS: Screener available 
GENRE:  Action
COVERED BY: Steve

LOGLINE 

To avenge his brother's death, a man must enter the erotic and deadly criminal underground of the near future where he finds the fight of his life.

SUMMARY 

Set in a sort of post apocalyptic Los Angeles, which has a perimeter fenced in chain link, and one set of roving gang members that like to kung fu fight intruders, Bloodfist is about one man’s quest to avenge his brother’s death.  When Jonny, a great PITFIGHTER wins a big purse, he goes to a strip club to celebtrate.  He goes outside for a piss and gets killed. The next morning, his brother comes to town, hoping to look up his older bro.  The younger brother is devastated to find out that Jonny has been killed.  He goes to the cops, but the cynical detective SLICK refuses to help and tells the guy to get out of town before he gets hurt.  After Slick sees the younger brother fight off a crazy gang, he suggests that the guy might have success finding out about his brother’s death if he infiltrates the secretive world of pitfighters by becoming one of them.


COMMENTS

A film that looks like it is destined (if lucky) for the straight to video section.  I would be shocked if this was released theatrically.  The production value is laughable at times, the performances are terrible, the script is clichéd and the strippers tits are so fake that I think I saw the scars.  The film boast a Kung Fu champion as its lead, but the action/ fight sequences are poorly choreographed, poorly shot and horribly sound designed (the foley punching sound effect has never been so distracting).  The Kung Fu champ is also an unbearably bad actor.  In its defense, some of its explosions looked well done, and I certainly like to stare at strippers tits as much as the next guy, and this film certainly takes every opportunity to put them onscreen.
"
