"TETSUO THE BULLET MAN","EFM: Sat 13 -16:15 & Mon 15 - 14:30 @MGB Kinosaal  ","Shinya Tsukamoto ","","FINAL EDIT  Like early David Lynch let loose in a scrapyard. ","","BLX, IT, SCAN, LA ex Br, INDO, PORT, ME, UK, ","Co production office","","","",""
"Women Without Men","EFM: Fri 12 - 19:00 @MGB Kinosaal ","Shirin Neshat","","","UK: Artificial Eye","BLX, SW, SCAN,  INDO, PORT, ME ","Co production office","","","",""
"CATERPILLAR","Comp': Mon 15 - 15:30 @CinemaxX 7 (E) & 22:30 @Berlinale Palast (D), Tue 16 - 9:30  CineStar 1 (D, E), 15:00 @Friedrichstadtpalast (E) & 20:00 @Urania (D), Wed 17 - 9:30 @CinemaxX 2 (D, E)","koji wakamatsu ","SHINOBU TERAJIMA, SHIMA OhNIshI, kEN YOshIzAwA, kEIGO kAsuYA, EMI MAsuDA, sAbu kAwAhARA, MAkI IshIkAwA ","During the Second Sino-Japanese War, in 1940, Lieutenant Kurokawa returns home as a honoured and decorated soldier… but deprived of his arms and legs lost in the battle in mainland China. All hopes, from the villagemen and women to close family members, turn to Shigeko, the Lieutenant’s wife: she must honour the Emperor and the country in setting an example for all by fulfi lling her duty and taking care of the ‘god soldier’…  85'","","BLX, IT, SW, UK, SCAN, LA, INDO, PORT, ME","Doc and Film","","","",""
"MY QUEEN KARO","EFM: Fri 12 - 17h50 @CINEMAxx 15 ,  TuE 16 - 18h15 @CINEMAxx 14 ","Dorothée van den berghe ","ANNA FRANzIskA JäGER, MATThIAs sChOENAERTs, MARIA kRAAkMAN, DébORAh FRANçOIs ","Ten-year-old Karo grows up with her parents in an Amsterdam commune in the Seventies. As an only child, she leads a carefree existence in this utopia-for-adults. The mandate says that everything is to be shared in the squat. But soon not everyone is able to honour these ideals, leading Karo to get caught in the crossfire of the internal conflicts that start to divide the group. Karo slowy realizes that nothing can stay the same forever. ","FR: 07/10/2009Sophie dulac distribution95 320  adm on  14 prints","Check: IT, SW, UK, SCAN, LA, INDO, PORT, ME","Doc and Film","","","",""
"1981","Complete","Ricardo Trogi","Jean-Carl BoucherClaudio ColangeloSandrine Bisson","In 1981, the Trogi family moves into a new home.Ricardo is 11 years-old and the new kid in a classwhere the other students are from wealthierbackgrounds, and he feels his honour is atstake. To avoid being exposed, Ricardo resortsto inventing a new family history. When hecan no longer ignore the reality of his family’ssituation, young Ricardo must decide how tobuild on his true identity.","","BLX, FR, IT, SW, SCAN, LA ex TV, INDO, PORT, ME, UK, OZ","E1 INT'L","Drama","","",""
"5150 Elm's Way","Market:Feb 13, 17:00CINESTAR 6Feb 14, 9:00CINESTAR 6","Eric Tessier","Marc-Andre Grondin, Normand D'Amour, Sonia Vachon","5150 Elm’s Way is located at the end of a quietstreet. When Yannick Bérubé falls off his bike, heknocks at the door of the Beaulieu residence toclean off. But Jacques Beaulieu and his familyhave other plans for Yannick. Beaulieu is a selfrighteouspsychopath and fanatical chess playerwho wants to rid the world of “evil”. Yan isbeaten, tortured and tormented before Beaulieumakes him an offer: win at chess and go free. - seem like a pass (SM)","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK, OZ","E1 INT'L","Thriller","","",""
"7 Days","Market:Feb 11, 12:45, CINESTAR 4Feb 16, 19:00, CINESTAR 4","Daniel Grou","Claude LegaultRemy GirardMartin DubreuilFanny MalletteRose-Marie Coallier","Bruno Hamel, a surgeon in his late thirties,leads a happy life with his wife and 8-year olddaughter. But when his child is raped and thenmurdered, everything changes. Bruno plotsrevenge and kidnaps the “monster”, afterhis arrest, the day he appears in court. Brunolets the police in on his plan: he will torturethe murderer for seven days, then execute him.Once this task is accomplished Bruno will givehimself up. - seem like a pass (SM)","","BLX, FR, IT, SW, SCAN,   PORT, ME, UK, OZ","E1 INT'L","Thriller","","",""
"An Angel at Sea","Market:Feb 13, 9:00CINESTAR 2","Frederic Dumont","Anne ConsignyOlivier GourmetMartin Nissen","Louis is a happy and carefree 12-year old boywho lives with his older brother and parentsin a small Moroccan town. He loves his brother,his mother and father, and playing footballwith the neighborhood kids. He also loves thesea, laughter, and learning. One day, his manicdepressive father tells him a secret that willcompletely change who he is. His childhoodvanishes; his innocence gone. From now on, hewill be an angel.","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK, OZ","E1 INT'L","Drama","","",""
"Animal Kingdom","Private Screening:Sunday, February 14 | 11.30amHackesche Hofe CinemaRosenthaler Straße 40/41Monday, February 15 | 11.30amHackesche Hofe CinemaRosenthaler Straße 40/41","David Michod(W/D)","Guy PearceBen MendelsohnLuke Ford","Film Centers on a young man, 17, who has grown up in a criminal family, and is pressured by police into turning against them and acting as an informant. ","BLX 175K","BLX, SW, SCAN (has offer), LA, INDO, PORT","E1 INT'L","Drama","","",""
"Bang Bang Club","Production/footage in Berling","Steven Silver(W/D)","Ryan Philipe, Malin Ackerman, Taylor Kitsch","True story of a group of young photographers in South Africa who chronicled the end of apartheid","BLX - ParadisoFRANCE - $525,000ITALY - $330,000SW - $50,000SCAN - ScanboxLA - $225,000INDO - $15,000PORT - $55,00A/N: 150KMIDDLE EAST - $60,000","FR, IT, SW,  INDO, PORT, UK, OZ","E1 INT'L","Drama","","",""
"Cairo Time","Market:Feb 14, 14:45CINEMAXX 12","Rubba Nada (W/D)","Patricia Clarkson, Alexander Siddiq ","A romantic drama about a brief, unexpected love affair that catches two people completely off-guard","","FR, IT, SW, SCAN, INDO, PORT, UK","E1 INT'L","Romantic Drama ","","",""
"City of Shadows","Complete","Kim Nguyen","Jean-Marc BarrClaude LegaultPierre LeBeauLotfi AbdeliSabine KarsentiVincent Winterhalter","In a lost colony, near the Sahara, where a warhas just ended, Dr. Max Orswell returns from thefront, broken by eight years of service. He iswaiting for the boat that will finally take himhome bit ot mever arrives. The days pass, thecaravan does not come. Things capsize. A corpseappears in the street. Another. Max must facethe terrible truth: the horror is back.","","BLX, FR, IT, SCAN, INDO, PORT, UK, OZ","E1 INT'L","Drama","","",""
"Colony","Market:Feb 15, 14:00CINESTAR 5","Ross McDonnell, Carter Gunn","","The unexplainable phenomenon known asColony Collapse Disorder has left landscapesof empty beehives all across America, threateningnot only the beekeeping industry, butour food supply. As scientists and beekeeperssearch for the cause, Colony captures thestruggle within the beekeeping communityto save the honeybee, and themselves.","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK, OZ","E1 INT'L","Doc","","",""
"Detour","Complete","Sylvain Guy","Luc PicardIsabelle GuérardGuillaume Lemay-Thivierge","For twenty-two years, Leo Huff has workedbehind the same desk, living with the samewife in the same bungalow with the same olddaily routine. Leo’s world turns upside downwhen he is sent to replace another engineer outin the country. Leo unwittingly falls in love witha troubled young woman who promises to rescuehim from his monotonous life.","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK, OZ","E1 INT'L","Thriller","","",""
"Heatwave","Pre Production","Sophie Lorain","Marie-Thérèse FortinFrançois ArnaudMarie BrassardYvan BenoîtFrançois Létoureau","Gisele, a youth-centre social-worker in her fifties, findsout, after her husband’s death, that he had been havinga secret affair for many years. Moved by Gisele’s recentloss, Yannick, a 19-year old kleptomaniac, attempts toget close to her by stealing her personal possessionsand invading her space. Their romance is met with manyobstacles. For Gisele: her children, who mourn the lossof their father; the search for her late husband’s mis-tress, and a jealous colleague. Yannick, on the otherhand, is tempted by the reappearance of his ex-loverand old habits die hard…","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK, OZ","E1 INT'L","Comedy","","",""
"Grown Up Movie Star","Market:Feb 14, 12:30CINESTAR 6Feb 16, 9:00CINESTAR 6","Adriana Maggs","Shawn DoyleJohnny HarrisJulia KennedyTatiana Maslany","As her father struggles with a growing awareness of hishomosexuality, starry-eyed teenage Ruby is on her ownpath, discovering that her newfound sexuality is an easyway to get the attention she desperately craves.","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK, OZ","E1 INT'L","","","",""
"Leslie, My Name is Evil","Market:Feb 12, 14:45CINEMAXX 12","Reginald Harkema","Kristen Hager, Gregory Smith, Ryan Robbins, Don McKellar, Peter Keleghan","Perry, a sheltered chemist, falls in love withLeslie, a former homecoming princess turnedManson girl, when he is selected to be a jurymember at her hippie death cult murder trial.When Perry and Leslie lock eyes in court, Perryis forced to confront the darkest deepest partsof himself.","","BLX, FR, SW, SCAN, LA, INDO, PORT, ME, OZ","E1 INT'L","Black comedy","","",""
"Noemie","Market:Feb 11, 15:00CINESTAR 6Feb 12, 16:45CINESTAR 6","Frédérik D’Amours","Camille FeltonRita LafountaineRaymond BouchardMarina OrsiniPaul DoucetNicolas Laliberté","Noemie is seven and three-quarters. She is endlesslyinquisitive and has parents who are overextended andspend too much time working. Fortunately there’s theupstairs neighbour, Madame Lumbago, who loves Noemielike a grandmother. The first anniversary of the death ofMadame Lumbago’s husband is coming up, and thethought of the old man reminds Noemie of a story heliked to tell: the story of a treasure hidden somewherein the apartment. Noemie sets out to find it. During heradventures, the little girl makes some peculiar discoveriesabout the adult world…","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK, OZ","E1","Family","","",""
"THE SHOCK DOCTRINE","complete","Michael WinterbottomMat Whitecross","","Based on the best-selling book by Naomi Klein,The Shock Doctrine seeks to explain the riseof ‘disaster capitalism’: the exploitation ofmoments of crisis by governments and bigbusiness in order to ransack the economies ofvulnerable countries.","","IT, SW, LA, INDO, PORT, UK,","E1 INT'L","Doc","","",""
"Taking the Plunge 2","Pre Production","Frédérik D’Amours","Mélissa Désormeaux-PoulinJason Roy-LéveilléeGuy JodoinSylvie MoreauMariloup Wolfe","It’s the end of summer and Gaby and Fred areperfectly happy. They’re getting ready for the WorldSwimming Championships in Quebec City. Fred andGaby have specific ""out-of-competition"" plans forthe upcoming week, but their love is tested whena former student — who’s always been in love withGaby — resurfaces during the competition. Gabyreaches a critical stage in her life when she mustchoose between the pursuit of competitive swimmingand her cherished dream of becoming an astronaut.","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK, OZ","E1 INT'L","comedy","","",""
"The Timekeeper","complete","Louis Belanger","Craig OlejnikRoy DupuisStephen McHattie","After the death of his father, Martin lands ajob as a timekeeper on a Northwest Territoriesconstruction site. Under the watchful eye of atyrannical foreman, they’re building a section ofrailway. In this remote, isolated camp from whichthere is no escape, corruption is a way of life…but Martin is upstanding, and won’t buy into this.","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, UK, OZ","E1 INT'L","Adventure","","",""
"Waste Land (Panorama)","Market:Feb 12, 19:00MARRIOTT 2Festival:Feb 13, 17:00, KINO INT’LFeb 14, 14:30, CINESTAR 7Feb 19, 22:30, CINESTAR 7Feb 21 15:30, COLOSSEUM 1","Lucy Walker","","Renowned arist Vik Muniz and a group of landfillscavengers take an emotional journey from agiant garbage dump in Rio de Janeiro to the mostprestigious auction houses and museums in theworld. Ultimately, the alchemic transformation oftrash into art also transforms the artist and hiscollaborators, taking them to entirely new worlds.","","BLX, FR, IT, SW, SCAN, LA ex Br, INDO, PORT, ME, UK, OZ","E1 INT'L","Doc","","",""
"Year of the Carnivore","complete","Sok Yin Lee","Cristin Milioti, Mark Rendall, Will Sasso, Sheila McARthy, Kevin McDonald","Sammy Smalls is a 21-year-old tomboy who works as a store detective at a grocery store. In between chasing shoplifters, she develops a crush on a musician. Unfortunately, he thinks she's bad in bed. Sammy takes the criticism seriously and hatches a plan of self-improvement that leads to cross-dressing (sort of), kidnapping, and skinny-dipping with the elderly.","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK, OZ","E1 INT'L","Comedy","","",""
"Burke and Hare","In Production, coverage avail, may have footage in Berlin","John Landis","Simon Pegg, Andy Serkis, Tom Wilkinson, Isla Fisher, Tim Curry, John Cleese, Hugh Bonneville, etc.","Hapless entrepreneurs William Burke and William Hare as they develop a lucrative venture in 19th century Edinburgh","Italy – 1MSwitz – 100KBenelux – 400KScandi - 400KLat Am - 525KPortugal - 100KIndonesia - 20K","BLX, IT, SW, SCAN, LA, INDO, PORT","Ealing Studios","Black Comedy","","",""
"Effie","Shooting in April 2010/ 5L","Richard Laxton","Carrie Mulligan, Emma Thompson, Greg Wise – still have not cast MILLAIS yet.","Effie Gray is a charming and naïve young girl trapped in a loveless marriage to one of the great English intellectuals, JOHN RUSKIN. Craving emotional and physical attention, she falls in love with the dashing artist JOHN EVERETT MILLAIS. In an historic and extraordinary twist, Effie wins a landmark ruling by successfully divorcing Ruskin on the grounds that their marriage was never consummated.","Italy – 700KSwitz - 120KBenelux – 300KScandi – 400KPortugal - 70KLat Am – 450KIndonesia - 40KMiddle East – 70K","BLX, IT, SW, SCAN, LA, INDO, PORT, ME, UK","Ealing Studios","Period Drama","","",""
"From Time to Time","EFM: Fri 12 - 3.15pm  & Tue 16 - 4.30pm @CinemaxX 14","Julian Fellowes (W/D)","Maggie Smith, Alex Etel, Dominic West, Carice Van Outen, Pauline Collins, Hugh Bonneville","Two distinct worlds in times of war, two centuries apart, linked by a single family, the mysterious house in which they live and the dark secrets it holds. (Natalie Brenner says it is commercial - cov avail - SW)","BLX: 200KFR: 800KIT: 700KSW: 100KSCAN: 375KBR: 250KMX: 200K","BLX, FR, IT, SW, SCAN, LA, INDO, UK","Ealing Studios/ Fragile Films (Natalie Brenner)","","","",""
"Nina Simone (Untitled)","Pre Production","Cynthia Mort","Mary J Blige","A rare and poignant love story, this is an uplifting biopic of Nina Simone during a turbulent period in the iconic artist’s life.  Set in France during the 1990s with frequent flashbacks to defining moments in her life and her remarkable and unique music, this film tells the story of a tormented genius who eventually finds love and peace.  Mary J Blige will play the “High Priestess” in this definitive legacy of a legend who continues to engage, enthral and inspire audiences around the globe.","","New, CHECK","Ealing","Biopic, Drama","","",""
"St. Trinians 2: Legends of Frittons Gold ","EFM: Fri 12 - 5.00pm @Arsenal 2, Mon 15 - 4.30pm @Cinestar 6","Oliver Parker","Colin FIRTH, Rupert EVERETT, Russel BRAND","The Goonis meets Da Vinci Code in this St Trinian's sequel, with the anarchic school girls on the hunt for Fritton's legendary lost treasure.","","BLX, IT, SW, SCAN, LA,  PORT","Ealing Studios","Comedy","","",""
"What the Puck","Pre Production","Peter Cattaneo","Possibly: Colin Firth and Thandie Newton","In the tradition of  life affirming, feel good comedy, WHAT THE PUCK is a ‘David and Goliath’ tale based on a true story about A father and son's journey to piece back together their broken hearts.  Recently divorced Ben and his son Joe are struggling to come to terms with  the hurt of a  messy divorce when, through an unlikely, newfound interest in Ice Hockey they find their lives transformed. When Joe joins the struggling local team the Silvertown Tigers, they are welcomed into a hilariously dysfunctional crew of kids and their parents.  Ever the eternal optimist, Ben attempts to boost the rather useless yet enthusiastic team's spirits, by persuading them to accept a mistaken invitation to play in the World Junior Championships in Canada. As they face a catalogue of mishaps and humiliations our plucky heroes find success and joy when,  and where, they least expect it.","Benelux; $350kFrance:   $1.1mItaly:       $900kSwitzerland$ 100kScandinavia $350kLatin America $650kPortugal $80kMiddle East $100k (first refusal granted to Prime however)Indonesia $20k","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK, OZ","Ealing Studios","","","",""
"Don't Let Me Drown","complete","Cruz Angeles (W/D)","E.J. Bonilla, Gleendilsy Inoa, Damian Alcazar, Ricardo Chavira, Gina Torres, Yareli Arizmendi","In a post September 11th world overflowing with fear and hate, two teens discover that sometimes the only thing that can keep them from drowing is love","","FR, IT, SW, SCAN, LA, INDO, PORT,   ME, UK?, OZ? ","Elephant Eye","Drama","","",""
"Fidel's Last Dance","Complete","Cynthia Newport","Alicia Alonso, Carlo Acosta, Lorna Feijoo","tells the personal and political stories of the life of dance and culture in Cuba that includes exile and return, loss and redemption and tradition and innovation.","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, UK, OZ","Elephant Eye","Doc","","",""
"The Harvest","Pre Production","John McNaughton","TBA  ","A young doctor and nurse try to adjust to a new life when their child is born with a debilitating disease","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, UK?, OZ?   ","Elephant Eye","Psychological Thriller","","",""
"Second Child","Pre Production","Sebastian Silva","Casting","A young boy grows up, troubled to be feeling strange sexual attraction to men, noticeably, while on a trip to a family friend's cabin.","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK, OZ","Elephant Eye","Drama","","",""
"Old Cats","Promo Avail, Pre Production","Sebastian Silva","Catalina Saveendra, Alejandro Sieveking, Belgica Castro, Claudia Celedon","Isidora, an old woman, discovers that her mind is quickly deteriorating. At an apparently relaxed dinner table, she will desperately try to hide her state from her daughter, a demanding woman who awaits any sign of senility in order to take away everything she has.","","BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK?, OZ? ","Elephant Eye","","","",""
"Passing Strange","EFM: Sat 13 - 9:30 &Mon 15 - 17:10 @@Marriott 1","Spike Lee","","From singer-songwriter and performance artist Stew comes Passing Strange, a daring new musical that takes you on a journey across boundaries of place, identity and theatrical convention.",""," BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK?, OZ? ","Elephant Eye","Musical","","",""
"Prince of Broadway","complete","Sean Baker (W/D)","Prince Adu, Karren Karagulian, Aiden Noesi","Lucky, a street huster lselling counterfeit goods, has his worldturned upside down when a child is thrust into his life bya woman who insists the toddler is his son","","FR, IT, SW, SCAN, LA, INDO, PORT, ME, UK?, OZ?  ","Elephant Eye","Drama","","",""
"Precious ","complete","Lee Daniels","Gabourey Sidbe, Mo'Nique Paula Patton, Lenny Kravitz, Mariah Carey, Sherri Shepherd","SUNDANCE 09 winnerIn 1980's Harlem, an overweight, illiterate teen who is pregnant with her second child is invited to enroll in an alternative school in hopes that her life can head in a new direction","FR: 2MIT: 1.75M","IT, INDO","Elephant Eye","Drama","","",""
"The Assault","In Production","Julien Leclercq","Vincent Elbaz","Saturday 24th December 1994. Four GIA terrorists hijack an Air France A300 Airbus at Algiers airport. The Airbus, bound for Paris, has 227 passengers onboard. No one knows exactly what the terrorists’ intentions are, just that they are armed and extremely determined. They demand the liberation of their “brothers in arms” and want the aircraft to take off at once. After very lengthy and intense negotiations between the French and Algerian governments, the plane is finally allowed to leave. There are three main characters at the heart of the action: a member of the GIGN, Carole Jeanton, an ambitious technocrat willing to go to any lengths to achievepersonal gain from the events, and Yahia Abdallah, a determined jihadist who grew up in the slums of Algiers and was being manipulated by an obscure GIA envoy, Ali Touchent. Each one will follow their own ideology until their paths cross in the final outcome. In front of an audience of 21 million television viewers, an assault by the GIGN brings the hostage crisis to an end. Never, in the history of terrorism had a crisis such as this arisen. It was to be a foretaste of the terrible events of September 11th 2001.","","BLX, IT, SW, SCAN, LA, INDO, PORT, ME, UK, OZ","Elle Driver","Action/Drama","","",""
"Bunker","In Production/2M","Andres Baiz","Alex Brendemuhl","A house built just after WWII lies nested in the mountains on one of the highest capitals in the world. A striking observant mirror in the main bedroomhides an engineering masterpiece: a small room disconnected from the world. - script coming, very strong pitch, interested, strong story in Hitchcockian kind of way from producers of Maria Full of Grace (MW)","","CHECK: BLX, FR, IT, SW, SCAN, INDO, PORT, ME","Elle Driver","Psychological Thriller","","",""
"Hut in the Woods","","Hans Weingartner","","The film portrays the story of an unusual friendship. A boy with a troubled childhood and a young man with a broken life both have one thing in common: nobody needs them. Thomas struggles fitting to society. Labeled as a “freak” he keeps ending up in a psychiatry. The younger Ukrainian boy Viktor counts as a nuisance to everyone and is set to go to a orphanage after the death of his mother.","","CHECK","ELLE Driver","Drama","","",""
"Hysteria","Script Avail/ 6ME","Tanya Wexler","Rupert Everett, Jonathan Pryce, Sally Hawkins","Victorian  England, 1880. Mortimer Granville, a young doctor sick of his colleagues' medieval practices, starts working for Dr Dalrymple, who treats women's hysteria by offering them intimate manual relief…","BLX 400k eurosFR prodIT no pricing yetSW 150k euroLA 400k $SCAN 300k euros ME - no pricing yetPORT 75k euroAUS 450K EURO","CHECK: SW, SCAN, LA, INDO, PORT, ME","Elle Driver","Romantic Comedy","","",""
"In Your Hands","Post Production","Lola Doillon","Kristin Scott Thomas, Pio Marmai","Mad with grief, a young man kidnaps a brilliant female surgeon he holds responsible for his young wife's death","BLX 250k euros SW 40k eros PORT 25k euros LA 150k $ME upon request AUS 400k euros","CHECK: IT, SCAN, LA, INDO, PORT, ME","Elle Driver","Drama","","",""
"Rubber","Promo in Berlin","Quentin Dupieux (W/D)","","A group of spectators is watching a mock-projection in the middle of the desert. They make comments on the scenes of the “film” as it is occurring before their eyes: Robert, a tire that has been abandoned in the desert, suddenly comes to life, for no reason. He learns how to get around, explores the desert and discovers in himself a passion for destroying insects and various lost items. Robert soon develops a telepathic gift, which gives him the ability to destroy anything he wants, without moving. Robert’s encounter with man and civilization marks the beginning of absolute bloodshed. - could be funny, has dark humor, will be one to see (MW)","","CHECK: BLX, IT, SW, SCAN, LA, INDO, PORT, ME","Elle Driver","Horror","","",""
"ST GEORGE SHOOTS THE DRAGON (SVETI GEORGIJE UBIVA AZDAHU)       ","EFM: SUN 14 -  17:30  @CINEMAXX 16","Srdjan DRAGOJEVIC ","Lazar RISTOVSKI, Milutin MILOSEVIC","SERBIA - MONTENEGRO At the start of the First World War, the healthy population of  a Serbian village is mobilized. The invalids left behind try to take advantage of the soldiers' wives and sisters. News about this reaches the Serbian soldiers in the trenches a few days before the expected enemy attack. To prevent a mutiny, the Serbian High Command decides to take the invalids to the front line and thus deal with ""the inconvenience"".These extraordinary events, based on a true story, are the backdrop for an ill-fated love triangle between a young war invalid, a local policeman and his wife, that ends in a way that resembles an ancient Greek tragedy.","","CHECK: BLX, FR, IT, SW, SCAN, LA, INDO, PORT, ME","Elle Driver","Drama ","","",""
"Women Are Heroes","Footage Avail in Berlin","Jr","","The violence suffered by womenis the extreme expression of discriminations and worst crimes. When meeting them, JR wants to testify their force, their courage and their noble struggle : first to live, then to exist.","","IT, SW, SCAN, LA, INDO, PORT, ME","Elle Driver","Doc","","",""
"The Diplomat","Production begins Shooting mid december","Chris Nahon","Kevin Costner, Paul Walker","A diplomat is forced to run for his life after he is pulled into a murder plot - covered in Cannes, its C list popcorn, not a great story (SM)","FR 2.3IT 2.1UK 2.6","FR, IT, UK","Essential","","","",""
"Love and Other Impossible Pursuits","EFM: Thu 11 - 13:30 @CineStar 5, Sat 13 -14:45 @CinemaxX 4","Don Roos (W/D)","Natalie Portman, Lisa Kudrow, Scott Cohen, Charlie Tahan","The story of a young owman who finds the key to recovering her marriage in her relationship with her precocious stepson","BLX 500kFR 950KIT 900KSW 100kSCAN 525kLA 600kINDO 20kOZ 550k","BLX, FR, IT, SW, SCAN, LA, INDO, OZ","Essential","Comedy/Drama","","",""
"Red Dog","Pre Production","Kriv Stenders","Guy Pearce, Noah Taylor","RED DOG is the sweet and charming true story of a dog that roamed Australia and brought a struggling community together.","BLX 150kFR 400KIT 350KSW 15kSCAN 150kLA 350kINDO 15kUK 500kME 50k","BLX, FR, IT, SW, SCAN, LA, INDO, ME, UK","Essential","Family","","",""
"Whole Lotta Soul","Pre Production","Jay Russell ","Kevin Bacon, Jonathan Rhys Meyers, Chris Nesbitt, Sophie Okenodo, ","In a misguided attempt to protect his family and pay back gambling debts to the local Mobster, Jimbo (Jonathan Rhys-Meyers) robs a fish market, which is coincidentally owned by... the same Mobster.  On the run, Jimbo is cornered in a local curio shop, where he takes hostage an assortment of colorful characters, including Maguire (Kevin Bacon), who may be his illegitimate father.  Surrounded by the Police, the British Guard, and the Mobster’s crew, the young man must find a way out of his precarious predicament with the help of his oddball captives. - Brit gangster flicks, this one a bit more farcical and lite, but its not even the strongest of its genre on the market (BLITZ, THE GUARD are both better), so I'd say this one is definitely not a prebuy. (SM)","BLX 375FR 600SW w ger tv 60kIT 675SCAN 375LA 475INDO 35UK 900Oz 375 ","BLX, FR, IT, SW, SCAN, LA, INDO, UK, OZ","Essential","Drama","","",""
"The Wrong Side of Town","","David DeFalco","Rob Van Dam, Dave ""The Animal"" Batista, Scott L. Schwartz, Ja Rule","While ExNavy Seal Bobby Kalinowski rescueshis wife from an assault, cokedup Ethanaccidently falls on his own knife and dies. Bobbymust fight his way through the street scum andgang members sent by Seth (Ethan’s brother)and save his kidnapped daughter.","FR 100kIT 70kLA 160k","FR, IT, LA","Essential","","","",""
"22 Bullets","EFM premiere:Fri 12 - 4.15 pm @CineStar 2; Sat 13 - 10.40 am @CineStar 4 ","Richard Berry (W/D)","Jean Reno, Kad Merad, Marina Fois, Jean-Pierre Darroussin, Richard Berry","A gangster who defies death to make a new life for himself","","IT, UK, OZ","EuropaCorp","","","",""
"Arthur and the Revenge of Maltazard","EFM:Sat 13 - 2.45 pm @CineStar 2","Luc Besson (W/D)","Freddie Highmore, Mia Farrow, voices of Selena Gomez, Lou Reed, Snoop Dogg, Will I Am, Stacy Ferguson","A spider deposits a grain of rice in Arthur's hand, with a message carved into it. It's an SOS from the Minimoys. Arthur doesn't think twice about flying to the rescue","","CHECK","EuropaCorp","","","",""
"The Big Picture","In Post Production","Eric Lartigau","Romain Duris, Marina Fois, Niels Arestrup, Branka Katic, Catherine Deneuve","Paul Exben is a success story - partner in one of Paris'smost exclusive law firms,big salary, big house, glamorous wife and two sons straight out of a Gap catalogue.But when he finds out that Sarah, his wife, is cheating on him withGreg Kremer, a local photographer, a rush of blood provokes Paul into a fatalerror. Standing over the corpse of his wife's lover, Paul knows that his perfectlife has gone for good.","","IT, SW, SCAN, LA, INDO, PORT, ME, UK, OZ","EuropaCorp","","","",""
"The Extraordinary Adventures of Adele Blanc-Sec","In Post Production","Luc Besson (W/D)","Loise Bourgoin, Mathieu Amalric, Jean Paul Rouve, Gilles Lellouche","The year is 1912. Adèle Blanc-Sec, an intrepid young reporter, will go to any lengths to achieve her aims, including sailing to Egypt to tackle mummies ofall shapes and sizes.","","CHECK: LA ","EuropaCorp","","","",""
"I, Don Giovanni","Completed","Carlos Saura(W/D)","Lorenzo Balducci, Lino Guanciale, Emilia Verginielli, Tobias Moretti","Writer Lorenzo da Ponte is leading a very loose life. Originally a priest,his numerous affairs force him to be sent in exile in Vienna. Supported by hisfriend and mentor Giacomo Casanova, da Ponte is introduced in Vienna toKing’s favorite composer Salieri, and a newcomer named Wolfgang AmadeusMozart.","","BLX, SW, SCAN, INDO, PORT, UK","EuropaCorp","","","",""
"In the Beginning (A l'origine)","EFM:Thu 11 - 2.45 pm &Fri 12 - 9.15 am @Cinemaxx 14","Xavier Giannoli (W/D)","Francois Cluzet, Emmanuelle Devos","A professional conman passes himself off for the boss of a construction site building a highway extension. He cons the whole region, hiresa dozens of workders and cynically enjoys the profits of his scam until he meets the lady mayor of a small village that the road will go through.","","SCAN, LA, INDO, OZ","EuropaCorp","","","",""
"Little White Lies","In Post Production","Guillaume Canet (W/D)","Francois Cluzet, Marion Cotillard, Jean Dujardin, Benoit Magimel, Anne Marivin","Every year, Max, a successful restaurant owner, and Véro, his eco-friendly wife invite amerry group of friends to their beautiful beach house to celebrate Antoine's birthday and kick-start the vacation. But, this year, before they all leaveParis, their buddy Ludo is hurt in a serious accident, which sets off a dramatic chain of reactions and emotional responses. - Read the entire script; It's funny and smart with engaging characters; seems very french, so only work in territories where that is strong - rest, should wait. (SM)","","IT, SCAN, LA, INDO, PORT, ME, UK, OZ","EuropaCorp","","","",""
"A Monster in Paris","In Production","Bilbo Bergeron(W/D)","Vanessa Paradis, Mathieu Chedid","Paris, 1910. Emile, a shy movie projectionist, and Raoul, a colorful inventor, find themselves embarked on the hunt for a monster terrorizing citizins","","BLX, IT, SCAN, UK, OZ","EuropaCorp","","","",""
